date,open,close,volume
2013-10-09,64.02,63.59,8689741
2013-10-10,64.48,65.58,7676613
2013-10-11,65.66,66.21,6733879
2013-10-14,65.88,66.83,6461548
2013-10-15,66.73,66.44,5943056
2013-10-16,66.64,66.35,7724755
2013-10-17,66.19,66.42,6952307
2013-10-18,66.5,67.15,7587047
2013-10-21,67.27,67.61,4846265
2013-10-22,67.94,69.0,7846811
2013-10-23,68.81,68.12,5864454
2013-10-24,68.18,69.05,6035209
2013-10-25,69.32,69.26,6613325
2013-10-28,69.35,69.0,4455996
2013-10-29,69.12,68.92,4450203
2013-10-30,69.22,68.47,5816116
2013-10-31,68.47,68.59,5706091
2013-11-01,68.71,69.01,5008592
2013-11-04,69.41,68.81,4790193
2013-11-05,68.77,68.85,5148448
2013-11-06,69.18,69.0,6508970
2013-11-07,69.34,67.15,10458705
2013-11-08,66.87,68.58,16182773
2013-11-11,68.48,68.34,4954159
2013-11-12,68.33,67.77,6586688
2013-11-13,67.43,68.97,5681029
2013-11-14,69.14,70.02,7246568
2013-11-15,69.77,70.0,6185387
2013-11-18,70.06,69.5,4910795
2013-11-19,69.49,69.12,4801712
2013-11-20,69.12,69.23,4729280
2013-11-21,69.46,69.94,4505225
2013-11-22,69.95,70.2,4667718
2013-11-25,70.54,69.74,5830793
2013-11-26,69.92,71.18,8850128
2013-11-27,71.21,70.77,5446131
2013-11-29,71.04,70.54,4800980
2013-12-02,70.79,70.91,6775388
2013-12-03,70.22,69.9,8304746
2013-12-04,69.42,69.97,4884539
2013-12-05,70.29,70.23,5587900
2013-12-06,70.97,71.46,5542037
2013-12-09,71.36,71.11,6477173
2013-12-10,70.91,71.57,7112234
2013-12-11,71.73,70.52,9519199
2013-12-12,69.28,69.63,8756318
2013-12-13,69.9,69.62,5785005
2013-12-16,69.91,70.51,6252115
2013-12-17,70.69,70.66,6831011
2013-12-18,70.96,72.2,7971365
2013-12-19,72.14,72.97,6768257
2013-12-20,73.1,72.4,12989668
2013-12-23,72.89,73.28,5628707
2013-12-24,73.25,73.85,2883582
2013-12-26,73.95,74.62,4620099
2013-12-27,74.65,74.35,3844758
2013-12-30,74.99,76.23,8579170
2013-12-31,76.28,76.4,4692382
2014-01-02,76.04,76.27,5212460
2014-01-03,76.3,76.11,4061042
2014-01-06,76.53,75.82,6816693
2014-01-07,76.12,76.34,4511157
2014-01-08,76.13,75.22,10914858
2014-01-09,75.46,74.9,8077726
2014-01-10,75.08,75.39,6255271
2014-01-13,74.9,73.27,8248787
2014-01-14,73.71,74.45,6010335
2014-01-15,74.3,74.28,7299883
2014-01-16,74.39,74.21,5608249
2014-01-17,74.43,73.98,6688299
2014-01-21,73.99,74.2,7548136
2014-01-22,74.08,75.31,6800281
2014-01-23,74.53,74.79,6281005
2014-01-24,74.1,72.72,7338729
2014-01-27,72.47,72.25,7416257
2014-01-28,72.26,72.88,5509623
2014-01-29,71.97,71.33,8609208
2014-01-30,72.09,73.22,7550625
2014-01-31,72.2,72.61,7750354
2014-02-03,72.66,69.99,11966489
2014-02-04,70.94,71.05,11829723
2014-02-05,72.05,71.76,11631868
2014-02-06,75.61,75.56,19822855
2014-02-07,75.08,75.67,11526738
2014-02-10,75.67,77.06,8785647
2014-02-11,77.15,77.79,8186408
2014-02-12,77.66,77.91,6329539
2014-02-13,77.52,77.9,5955510
2014-02-14,77.88,79.23,7002635
2014-02-18,79.5,79.58,6140692
2014-02-19,79.5,78.87,7024022
2014-02-20,79.21,79.19,5748753
2014-02-21,79.07,80.13,8253018
2014-02-24,80.5,80.73,6635969
2014-02-25,80.72,80.21,6065203
2014-02-26,80.63,80.08,5776068
2014-02-27,80.0,80.48,4919943
2014-02-28,80.84,80.81,7031874
2014-03-03,80.3,79.46,8450395
2014-03-04,80.6,81.71,8021840
2014-03-05,82.22,82.68,7710268
2014-03-06,82.86,83.34,5774783
2014-03-07,83.6,82.21,7478961
2014-03-10,82.18,81.97,5211542
2014-03-11,82.19,81.05,7174290
2014-03-12,80.59,81.38,6378361
2014-03-13,81.75,79.93,8570629
2014-03-14,79.85,80.07,7754672
2014-03-17,80.5,81.39,7282393
2014-03-18,81.53,81.99,5395913
2014-03-19,82.25,80.52,6403205
2014-03-20,80.59,80.81,5968527
2014-03-21,81.96,80.35,7841172
2014-03-24,80.71,79.49,7643653
2014-03-25,80.24,79.55,6693822
2014-03-26,79.93,78.62,6752012
2014-03-27,78.295,78.48,9194723
2014-03-28,78.73,78.99,5281656
2014-03-31,79.7,80.07,6848852
2014-04-01,80.39,81.57,6555910
2014-04-02,81.72,81.67,6073512
2014-04-03,81.92,81.69,4930098
2014-04-04,82.32,80.43,8894844
2014-04-07,80.42,79.13,9001326
2014-04-08,79.27,79.57,7085161
2014-04-09,79.97,80.47,7005696
2014-04-10,80.92,77.51,10160154
2014-04-11,77.51,77.01,9206216
2014-04-14,77.7,77.62,5964923
2014-04-15,77.89,77.66,6404957
2014-04-16,78.38,78.95,5960869
2014-04-17,78.7,79.99,7627952
2014-04-21,79.96,79.11,7080747
2014-04-22,79.22,79.45,5876138
2014-04-23,79.53,79.52,4149634
2014-04-24,79.74,79.59,4635013
2014-04-25,79.46,78.23,6193863
2014-04-28,78.76,77.78,7522690
2014-04-29,78.35,78.64,4608880
2014-04-30,78.5,79.34,6550228
2014-05-01,79.35,79.56,6486920
2014-05-02,79.62,80.31,7599763
2014-05-05,80.42,81.22,5672735
2014-05-06,81.59,81.03,10696487
2014-05-07,81.65,80.29,11907798
2014-05-08,80.21,81.6,9258242
2014-05-09,81.27,81.95,5376634
2014-05-12,82.08,82.42,5704379
2014-05-13,82.43,82.08,5274805
2014-05-14,81.77,80.92,6192041
2014-05-15,80.64,80.15,7688663
2014-05-16,80.17,80.39,5823957
2014-05-19,80.43,81.05,4897949
2014-05-20,80.94,81.09,6023361
2014-05-21,81.42,82.19,4736535
2014-05-22,82.19,82.35,4651995
2014-05-23,82.19,83.32,4580584
2014-05-27,83.56,83.74,5197723
2014-05-28,83.8,83.6,4652083
2014-05-29,83.92,84.03,6522392
2014-05-30,83.81,84.01,6351807
2014-06-02,84.27,84.27,3933943
2014-06-03,84.07,83.88,4541453
2014-06-04,83.85,84.24,5800205
2014-06-05,84.37,84.78,5955977
2014-06-06,84.91,84.61,5302807
2014-06-09,84.6,85.48,5672010
2014-06-10,85.4,84.75,4632627
2014-06-11,84.6,84.31,4300940
2014-06-12,84.03,82.8,7237220
2014-06-13,82.75,82.8,4711915
2014-06-16,82.64,83.3,5181129
2014-06-17,82.98,83.16,4536152
2014-06-18,83.18,83.58,4536536
2014-06-19,83.65,83.77,4327002
2014-06-20,84.07,82.82,11073748
2014-06-23,82.85,82.76,3947865
2014-06-24,82.68,82.68,5057264
2014-06-25,82.67,83.9,7899781
2014-06-26,84.68,84.45,6424106
2014-06-27,84.13,85.3,17932432
2014-06-30,85.44,85.74,6997990
2014-07-01,85.81,86.47,5608207
2014-07-02,86.58,86.44,4439758
2014-07-03,86.7,86.84,3210405
2014-07-07,86.61,86.59,4897895
2014-07-08,86.19,85.86,4733747
2014-07-09,86.0,87.22,6317683
2014-07-10,86.53,86.86,7249673
2014-07-11,87.0,86.89,5016396
2014-07-14,87.46,86.76,4017054
2014-07-15,86.58,86.15,7006703
2014-07-16,86.69,85.35,10679328
2014-07-17,85.33,85.03,6886606
2014-07-18,85.44,85.81,4719105
2014-07-21,85.81,85.74,4800402
2014-07-22,86.37,86.21,4984215
2014-07-23,86.31,86.04,3650328
2014-07-24,86.5,86.8,4174497
2014-07-25,86.3,86.23,4666234
2014-07-28,86.43,87.15,4547120
2014-07-29,87.29,86.2,5479099
2014-07-30,86.62,87.21,7299155
2014-07-31,86.59,85.88,6343453
2014-08-01,85.39,85.38,6759649
2014-08-04,86.17,87.24,8262656
2014-08-05,87.14,86.75,9361789
2014-08-06,86.18,86.59,9793689
2014-08-07,86.99,85.51,7916861
2014-08-08,85.65,86.85,6382687
2014-08-11,87.07,87.5,5052787
2014-08-12,87.15,87.21,4510527
2014-08-13,87.74,87.6,4532339
2014-08-14,88.03,88.61,8218205
2014-08-15,89.02,89.28,8211200
2014-08-18,89.66,89.97,4977060
2014-08-19,90.13,90.09,4153038
2014-08-20,89.92,89.84,3894514
2014-08-21,90.06,90.38,4719099
2014-08-22,90.13,90.49,4762155
2014-08-25,90.95,90.38,3515384
2014-08-26,90.61,90.02,4117717
2014-08-27,90.14,90.37,3739669
2014-08-28,91.06,90.94,3667626
2014-08-29,90.32,89.88,4179401
2014-09-02,90.18,90.8,5601956
2014-09-03,91.06,90.94,3684009
2014-09-04,90.87,90.14,5458719
2014-09-05,90.14,90.94,4597562
2014-09-08,90.76,90.56,4331230
2014-09-09,90.5,89.6,4797688
2014-09-10,89.54,89.52,5078620
2014-09-11,89.2,89.97,4102227
2014-09-12,90.1,89.67,3888474
2014-09-15,89.74,90.08,4909956
2014-09-16,89.71,90.27,4333970
2014-09-17,90.58,90.33,4058070
2014-09-18,90.31,90.34,4343618
2014-09-19,90.8,90.49,13382935
2014-09-22,90.49,89.29,5003007
2014-09-23,89.12,88.31,6155770
2014-09-24,88.36,89.45,5616214
2014-09-25,89.26,88.07,7081657
